url_id,url
sprl_10824233,https://3466822.000webhostapp.com/
sprl_10528204,http://bokephuya12.duckdns.org/
sprl_10318870,http://groub18viralins.duckdns.org/
sprl_10032458,http://grup-18new.duckdns.org/
sprl_10955386,http://bokep-viral-terbaru-montok.duckdns.org/
sprl_10493228,http://clickini.duckdns.org/
sprl_10673964,http://cobraff11.duckdns.org/
sprl_10132578,http://eventpesgg.duckdns.org/
sprl_10519415,http://klaimff02isn.duckdns.org/
sprl_10667703,http://claimitemff134.duckdns.org/
sprl_10567588,https://rewards0104.weebly.com/
sprl_10022430,http://www.shopcontroller.net/wordpress/wp-content/upgrade/
sprl_10753563,https://sites.google.com/view/sharepoint-jam38292/
sprl_10468788,https://adre-sety-web-das.000webhostapp.com/
sprl_10748577,https://attcustomerralertservice2022.weebly.com/
sprl_10026930,https://attsdhjs.weebly.com/
sprl_10809316,https://bellmailingupjected457899079sbcmailingupjected45677899079was123.weebly.com/
sprl_10610105,https://7783892bellglobalm7783892atthjaiaoride.weebly.com/
sprl_10213626,https://attcustomernoticeadmincare2022.weebly.com/
sprl_10217153,https://552sbcproaddressmailing9145562bellglobalm223.weebly.com/
sprl_10635345,https://pengattnow.weebly.com/
sprl_10676378,https://verifikasi-akun02.weeblysite.com/
sprl_10185539,https://heartisvenice.wordpress.com/
sprl_10611686,http://claim-coin-pes-gratis2737.duckdns.org
sprl_10893625,http://codhashop-top-up-gmae-dll.duckdns.org
sprl_10167827,http://diamond-ffcodashop.duckdns.org
sprl_10797444,http://duniagame-dggratistopup.duckdns.org
sprl_10049282,https://sites.google.com/view/centre01/accueil
sprl_10142056,http://comp-acessil.000webhostapp.com
sprl_10935118,https://yahoopro-verificationsmaildomainservicejjf.weebly.com/
sprl_10476081,https://attonlineverification11.yolasite.com/
sprl_10420273,https://adn-dee-set-nkjee-opo-wes.000webhostapp.com/
sprl_10154016,https://officenail.weebly.com/
sprl_10900600,http://vid-viraltt-terba12.duckdns.org/
sprl_10496100,https://008x-vsgtbshy.000webhostapp.com/customer-services-pages.html
sprl_10118978,https://attsavepassword1.weebly.com/
sprl_10557089,http://freefireindo-crateid2022.duckdns.org/
sprl_10402754,http://topup-gratis-freefire-222222.duckdns.org/
sprl_10543200,https://verificationonlinemailghsdcvbqwtyghpkmw.weebly.com/
sprl_10908834,https://optusnetcomau7.weebly.com
sprl_10087109,https://zpndmwlaouz8al7ntcultivation.000webhostapp.com/mcz.html
sprl_10341640,https://czzjdyh.000webhostapp.com/applogin.html
sprl_10884512,https://coins8888-cashback.blogspot.com/
sprl_10502442,https://shopee-raya-voucher.blogspot.com/
sprl_10309882,https://accessauthorizedapps.netlify.app/
sprl_10649496,https://stingy-nonstop-server.glitch.me/#[email protected]
sprl_10617202,https://sites.google.com/view/damilosadde/home?authuser=7
sprl_10700093,https://forms.zohopublic.eu/lesliecraig/form/SIGNINYOURBTACCOUNTCORRECTLY/formperma/70mm3RebGlDBmpvZ93RLlNchNiItk8j4MXuZciXnKic
sprl_10439324,https://folder39903093-3yue76673h.firebaseapp.com/
sprl_10398156,https://zimbra-198ed.firebaseapp.com/
